Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
C11,#275,3,1,0,longREF,89.9,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,797.90",,,94.93,84.88,16720,1230,15490,423,807,"1,411.00","14,079.00",24.32,,,,,,,,916.32,,,,,,,,,,,,,,"3,492.87",230.37,470.37,,,,,92.46,87.33,,,,,,,,,,,,
D11,#276,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13930,0,13930,0,0,0,"13,930.00",0,,,,,,,,,,,,,,,,,,,,,,0,661.3,661.3,,,,,,,,,,,,,,,,,,
D11,#276,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13930,0,13930,0,0,0,"13,930.00",0,,,,,,,,,,,,,,,,,,,,,,0,213.87,213.87,,,,,,,,,,,,,,,,,,
E11,#277,1,1,0,HDR,22.55,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,451.05,,,25,20.11,17275,328,16947,146,155,182,"16,792.00",9.87,3.27,,,3.78,2.76,3,,942.09,,,longREF,1.09,,,1.26,0.92,52.17,,,56.07,48.26,"1,435.25",741.66,754.83,,,,,23.8,21.31,,,3.53,3.01,,,1.18,1,,,54.16,50.17
E11,#277,1,1,0,longREF,20.68,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,413.59,,,23.02,18.35,17275,301,16974,146,155,182,"16,792.00",9.87,,,,,,,,790.39,,,,,,,,,,,,,,"3,010.00",234,282.37,,,,,21.87,19.49,,,,,,,,,,,,
F11,#278,3,1,0,HDR,199.79,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"3,995.75",,,207.6,192.03,16231,2535,13696,"1,472.00","2,395.00","1,063.00","11,301.00",94.03,1.87,,,1.97,1.78,3,,988.99,,,longREF,0.62,,,0.66,0.59,38.42,,,39.61,37.24,"1,564.27",754.1,880.64,,,,,203.77,195.82,,,1.92,1.82,,,0.64,0.61,,,39.03,37.82
F11,#278,3,1,0,longREF,320.16,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,403.15",,,330.32,310.08,16231,3867,12364,"1,472.00","2,395.00","1,063.00","11,301.00",94.03,,,,,,,,996.49,,,,,,,,,,,,,,"3,627.40",240.49,"1,047.42",,,,,325.33,315,,,,,,,,,,,,
G11,#279,2,1,0,HDR,141,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,819.99",,,147.5,134.53,16105,1819,14286,"1,262.00","3,579.00",557,"10,707.00",81.34,1.01,,,1.06,0.95,3,,978.3,,,longREF,0.34,,,0.35,0.32,25.11,,,26.12,24.09,"1,568.92",745.63,838.62,,,,,144.31,137.7,,,1.03,0.98,,,0.34,0.33,,,25.62,24.59
G11,#279,2,1,0,longREF,420.61,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"8,412.19",,,432.58,408.76,16105,4841,11264,"1,262.00","3,579.00",557,"10,707.00",81.34,,,,,,,,"1,028.18",,,,,,,,,,,,,,"3,831.03",237.84,"1,317.91",,,,,426.7,414.55,,,,,,,,,,,,
H11,#280,1,1,1,HDR,3.38,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,67.51,,,4.54,2.43,13961,40,13921,18,37,22,"13,884.00",1.51,2.18,,,3.07,1.29,3,,870.76,,,longREF,0.73,,,1.02,0.43,42.09,,,52.08,32.1,"1,264.73",733.09,734.61,,,,,3.94,2.87,,,2.63,1.73,,,0.88,0.58,,,47.15,37.03
H11,#280,1,1,1,longREF,4.64,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,92.88,,,5.99,3.52,13961,55,13906,18,37,22,"13,884.00",1.51,,,,,,,,782.52,,,,,,,,,,,,,,"3,251.66",231.37,243.27,,,,,5.3,4.05,,,,,,,,,,,,
A12,HK-wt_bio2_a,ctrl,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14491,0,14491,0,372,0,"14,119.00",0,,,,,,,,,,,,,,,,,,,,,,0,729.03,729.03,,,,,,,,,,,,,,,,,,
A12,HK-wt_bio2_a,ctrl,,0,longREF,30.6,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,611.91,,,33.71,27.49,14491,372,14119,0,372,0,"14,119.00",0,,,,,,,,964.32,,,,,,,,,,,,,,"4,113.68",222.33,322.22,,,,,32.18,29.01,,,,,,,,,,,,
H12,NTC,ctrl,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,12727,0,12727,0,0,0,"12,727.00",0,,,,,,,,,,,,,,,,,,,,,,0,737.51,737.51,,,,,,,,,,,,,,,,,,
H12,NTC,ctrl,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,12727,0,12727,0,0,0,"12,727.00",0,,,,,,,,,,,,,,,,,,,,,,0,232.58,232.58,,,,,,,,,,,,,,,,,,
