Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E09,#357,1,1,1,longREF,203.03,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"4,060.65",,,210.65,195.46,17362,2752,14610,"1,299.00","1,453.00","1,352.00","13,258.00",80.69,,,,,,,,922.72,,,,,,,,,,,,,,"3,664.99",241.8,784.4,,,,,206.91,199.16,,,,,,,,,,,,
E09,#357,1,1,1,HDR,194.93,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"3,898.55",,,202.38,187.52,17362,2651,14711,"1,299.00","1,453.00","1,352.00","13,258.00",80.69,2.88,,,3.03,2.73,3,,946.25,,,longREF,0.96,,,1.01,0.91,48.98,,,50.32,47.65,"1,562.22",717.34,846.35,,,,,198.72,191.14,,,2.96,2.8,,,0.99,0.93,,,49.66,48.3
F09,#358,3,1,0,longREF,241.45,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"4,829.09",,,250.56,232.41,14708,2729,11979,532,"2,197.00","1,265.00","10,714.00",22.01,,,,,,,,929.15,,,,,,,,,,,,,,"3,811.09",240.97,903.39,,,,,246.09,236.83,,,,,,,,,,,,
F09,#358,3,1,0,HDR,153.31,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"3,066.16",,,160.42,146.24,14708,1797,12911,532,"2,197.00","1,265.00","10,714.00",22.01,1.9,,,2.02,1.79,3,,951.74,,,longREF,0.63,,,0.67,0.6,38.84,,,40.25,37.42,"1,590.22",712.9,820.09,,,,,156.93,149.69,,,1.96,1.85,,,0.65,0.62,,,39.56,38.11
G09,#359,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,16481,0,16481,0,0,0,"16,481.00",0,,,,,,,,,,,,,,,,,,,,,,0,238.51,238.51,,,,,,,,,,,,,,,,,,
G09,#359,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,16481,0,16481,0,0,0,"16,481.00",0,,,,,,,,,,,,,,,,,,,,,,0,712.35,712.35,,,,,,,,,,,,,,,,,,
H09,#360,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13868,0,13868,0,0,0,"13,868.00",0,,,,,,,,,,,,,,,,,,,,,,0,228.49,228.49,,,,,,,,,,,,,,,,,,
H09,#360,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13868,0,13868,0,0,0,"13,868.00",0,,,,,,,,,,,,,,,,,,,,,,0,666.61,666.61,,,,,,,,,,,,,,,,,,
A10,#361,,1,0,longREF,0.49,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,9.75,,,1,0.19,14490,6,14484,0,6,0,"14,484.00",0,,,,,,,,705.05,,,,,,,,,,,,,,"3,124.04",240.34,241.53,,,,,0.72,0.31,,,,,,,,,,,,
A10,#361,,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14490,0,14490,0,6,0,"14,484.00",0,,,,,,,,,,,,,,,,,,,,,,0,717.65,717.65,,,,,,,,,,,,,,,,,,
