ChamberName;ChamberID;SampleName;ChamberContext;PoolingID;TotalNumberOfDroplets;Blue_Channel_SampleType;Blue_Channel_ProcessedDilutionStock;Blue_Channel_Concentration;Blue_Channel_NumberOfPositiveDroplets;Blue_Channel_NumberOfNegativeDroplets;Blue_Channel_SeparabilityScore;Blue_Channel_ConcentrationStock_Min;Blue_Channel_ConcentrationStock_Max;Blue_Channel_ConcentrationStock_RelativeUncertainty;Green_Channel_SampleType;Green_Channel_ProcessedDilutionStock;Green_Channel_Concentration;Green_Channel_NumberOfPositiveDroplets;Green_Channel_NumberOfNegativeDroplets;Green_Channel_SeparabilityScore;Green_Channel_ConcentrationStock_Min;Green_Channel_ConcentrationStock_Max;Green_Channel_ConcentrationStock_RelativeUncertainty;Red_Channel_SampleType;Red_Channel_ProcessedDilutionStock;Red_Channel_Concentration;Red_Channel_NumberOfPositiveDroplets;Red_Channel_NumberOfNegativeDroplets;Red_Channel_SeparabilityScore;Red_Channel_ConcentrationStock_Min;Red_Channel_ConcentrationStock_Max;Red_Channel_ConcentrationStock_RelativeUncertainty
0496213-7-C5_148;0496213-7-C5;148;;;24368;U;1;10.1;144;24224;15.6329818741872;8.4600000000000009;11.800000000000001;0.16300000000000001;U;1;9.9700000000000006;142;24226;36.062114806908397;8.3300000000000001;11.6;0.16400000000000001;U;1;19;270;24098;21.3447206834316;16.699999999999999;21.300000000000001;0.11899999999999999
0496213-7-D5_198;0496213-7-D5;198;;;24732;U;1;32;459;24273;15.734442777271999;29;34.899999999999999;0.091499999999999998;U;1;32.299999999999997;463;24269;29.980725759368699;29.300000000000001;35.200000000000003;0.0911;U;1;29.399999999999999;422;24310;17.6340555149796;26.600000000000001;32.200000000000003;0.095399999999999999
0496074-4-A3_074;0496074-4-A3;74;;;25973;U;1;48.100000000000001;722;25251;3.8388867486296601;44.600000000000001;51.600000000000001;0.072900000000000006;U;1;51.299999999999997;769;25204;30.429091278254202;47.700000000000003;54.899999999999999;0.070699999999999999;U;1;40.399999999999999;607;25366;19.722461078723601;37.200000000000003;43.600000000000001;0.079600000000000004
0496074-4-B3_075;0496074-4-B3;75;;;24614;U;1;35.700000000000003;510;24104;14.022384780514001;32.600000000000001;38.799999999999997;0.086800000000000002;U;1;52.899999999999999;751;23863;4.3916147228711697;49.100000000000001;56.700000000000003;0.071499999999999994;U;1;51.5;732;23882;17.874475305353702;47.799999999999997;55.299999999999997;0.072400000000000006
0496074-4-C3_077;0496074-4-C3;77;;;25818;U;1;11.5;173;25645;14.0366046141084;9.7699999999999996;13.199999999999999;0.14899999999999999;U;1;13;196;25622;30.9203876063591;11.199999999999999;14.800000000000001;0.14000000000000001;U;1;14.699999999999999;222;25596;17.521536117739899;12.800000000000001;16.699999999999999;0.13200000000000001
0496074-4-D3_025;0496074-4-D3;25;;;25487;U;1;139;1993;23494;12.7484057636952;132.90000000000001;145.09999999999999;0.043900000000000002;U;1;153.30000000000001;2189;23298;18.4574672648064;146.90000000000001;159.69999999999999;0.0419;U;1;132.30000000000001;1901;23586;14.5934306807263;126.40000000000001;138.30000000000001;0.044999999999999998
0496219-9-A6_201;0496219-9-A6;201;;;23926;U;1;8.5099999999999998;119;23807;13.4640043121387;6.9800000000000004;10;0.17999999999999999;U;1;10.1;141;23785;30.3110563869988;8.4199999999999999;11.800000000000001;0.16500000000000001;U;1;15.4;215;23711;23.829557261523899;13.300000000000001;17.5;0.13400000000000001
0496219-9-B6_019;0496219-9-B6;19;;;23843;U;1;22;305;23538;13.062994905656399;19.5;24.399999999999999;112;U;1;20.5;285;23558;32.677768995031499;18.100000000000001;22.899999999999999;0.11600000000000001;U;1;21.199999999999999;295;23548;22.0910927940858;18.800000000000001;23.699999999999999;114
0496219-9-C6_U2OS-wt;0496219-9-C6;U2OS-wt;;;22491;U;1;0;0;22491;nan;0;0;inf;U;1;0.080000000000000002;1;22490;nan;-0.070000000000000007;0.22;1.96;U;1;100.8;1290;21201;23.172113659587001;95.299999999999997;106.3;0.054600000000000003
0496219-9-D6_NTC;0496219-9-D6;NTC;;;24011;N;1;0;0;24011;nan;0;0;inf;N;1;0.070000000000000007;1;24010;nan;-0.070000000000000007;0.20999999999999999;1.96;N;1;0;0;24011;nan;0;0;inf
0478167-7-A1_005;0478167-7-A1;5;;;23827;U;1;13.699999999999999;191;23636;12.6358683805735;11.800000000000001;15.699999999999999;0.14199999999999999;U;1;13.6;189;23638;34.052059833108103;11.699999999999999;15.5;0.14299999999999999;U;1;28.199999999999999;390;23437;26.198947657037198;25.399999999999999;31;0.099199999999999997
0478167-7-B1_019;0478167-7-B1;19;;;25432;U;1;20.600000000000001;305;25127;11.2765354153514;18.300000000000001;22.899999999999999;112;U;1;22.199999999999999;328;25104;25.068586831191801;19.800000000000001;24.600000000000001;108;U;1;20.800000000000001;308;25124;19.356844913049699;18.5;23.100000000000001;112
0478167-7-C1_021;0478167-7-C1;21;;;24338;U;1;12.699999999999999;180;24158;5.2334205351746101;10.800000000000001;14.5;0.14599999999999999;U;1;13;185;24153;31.3593488769366;11.1;14.9;0.14399999999999999;U;1;9.5600000000000005;136;24202;23.4639359748342;7.96;11.199999999999999;0.16800000000000001
0478167-7-D1_025;0478167-7-D1;25;;;24094;U;1;139;1884;22210;10.514766266194;132.69999999999999;145.19999999999999;0.045199999999999997;U;1;156;2105;21989;15.0487228622814;149.40000000000001;162.69999999999999;0.042700000000000002;U;1;147.59999999999999;1996;22098;16.067281926216701;141.09999999999999;154.09999999999999;0.043900000000000002
0500069-2-A2_029;0500069-2-A2;29;;;24296;U;1;2.6699999999999999;38;24258;6.7144919928799904;1.8200000000000001;3.52;318;U;1;3.2999999999999998;47;24249;33.185081219095402;2.3599999999999999;4.25;0.28599999999999998;U;1;2.46;35;24261;23.317536301118999;1.6499999999999999;3.2799999999999998;0.33100000000000002
0500069-2-B2_030;0500069-2-B2;30;;;1942;U;1;11.5;13;1929;3.5103139955623801;5.2400000000000002;17.699999999999999;0.54400000000000004;U;1;7.0499999999999998;8;1934;4.0915195998609901;2.1699999999999999;11.9;0.69299999999999995;U;1;17.699999999999999;20;1922;14.5488186556048;9.9399999999999995;25.399999999999999;438
0500069-2-D2_U2OS-wt;0500069-2-D2;U2OS-wt;;;25064;U;1;0.070000000000000007;1;25063;nan;-0.070000000000000007;0.20000000000000001;1.96;U;1;0.070000000000000007;1;25063;nan;-0.070000000000000007;0.20000000000000001;1.96;U;1;103.2;1471;23593;17.1004536890478;98;108.5;0.0511
0473934-0-D3_NTC;0473934-0-D3;NTC;;;22450;N;1;0;0;22450;nan;0;0;inf;N;1;0;0;22450;nan;0;0;inf;N;1;0;0;22450;nan;0;0;inf
